date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2026-06-09,688568,44.4,45.4,45.75,43.58,114340,513494354.0,4.93,3.18,1.4,1.41
2026-06-10,688568,45.0,44.88,46.38,44.31,106735,481642618.0,4.56,-1.15,-0.52,1.32
2026-06-11,688568,44.53,44.38,44.95,43.44,106135,469440367.0,3.36,-1.11,-0.5,1.31
2026-06-12,688568,45.0,45.21,46.11,44.44,156602,707568195.0,3.76,1.87,0.83,1.94
2026-06-15,688568,45.0,44.0,45.02,42.96,181754,793569021.0,4.56,-2.68,-1.21,2.25
2026-06-16,688568,44.44,43.77,44.82,43.14,130554,573630365.0,3.82,-0.52,-0.23,1.62
2026-06-17,688568,43.22,44.59,45.47,43.22,128421,571018146.0,5.14,1.87,0.82,1.59
2026-06-18,688568,44.2,45.25,45.92,43.7,140771,636260482.0,4.98,1.48,0.66,1.74
2026-06-22,688568,45.35,43.18,45.35,41.88,190815,821396421.0,7.67,-4.57,-2.07,2.36
2026-06-23,688568,42.56,41.9,42.99,41.64,112231,475568197.0,3.13,-2.96,-1.28,1.39
2026-06-24,688568,42.08,42.38,42.76,40.62,124035,521400622.0,5.11,1.15,0.48,1.53
2026-06-25,688568,42.0,41.1,42.35,40.56,125242,514814202.0,4.22,-3.02,-1.28,1.55
2026-06-26,688568,40.68,40.15,41.29,38.89,200923,808588281.0,5.84,-2.31,-0.95,2.49
